,address,affordable_units,block,lat,latest_date,latlng,lon,lot,net_units,status,units,year,zone,unitcat
282,"5789 MISSION ST, San Francisco, CA",0.0,6473,37.709428761,2015-11-16 00:00:00,,-122.450078512,049,-1.0,COMPLETE,2.0,2015,NC-2,4
283,"5328 ANZA ST, San Francisco, CA",0.0,1500,37.7774556488,2015-11-13 00:00:00,,-122.50554306,020,-1.0,COMPLETE,2.0,2015,RH-1,4
284,"2545 GREENWICH ST, San Francisco, CA",0.0,0944,37.7980237328,2015-12-09 00:00:00,,-122.441518921,021A,-1.0,COMPLETE,2.0,2015,RH-2,4
285,"200 DOWNEY ST, San Francisco, CA",0.0,1269,37.7653943413,2015-12-17 00:00:00,,-122.446631693,140,-1.0,COMPLETE,2.0,2015,RH-2,4
286,"875 36TH AV, San Francisco, CA",0.0,1679,37.7725105835,2015-02-25 00:00:00,,-122.496308602,008A,-1.0,COMPLETE,2.0,2015,RH-2,4
287,"4119 26TH ST, San Francisco, CA",0.0,6563,37.7479558194,2015-07-29 00:00:00,,-122.431979043,035,-1.0,COMPLETE,2.0,2015,RH-2,4
288,"1459 20TH AV, San Francisco, CA",0.0,1833,37.7605349289,2015-08-07 00:00:00,,-122.478315099,009,-1.0,COMPLETE,2.0,2015,RH-2,4
289,"130 19TH AV, San Francisco, CA",0.0,1378,37.7854292237,2015-07-08 00:00:00,,-122.478341352,025,-1.0,COMPLETE,2.0,2015,RH-2,4
290,"724 12TH AV, San Francisco, CA",0.0,1654,37.7746048426,2015-11-13 00:00:00,,-122.469934505,041,-1.0,COMPLETE,2.0,2015,RH-2,4
291,"670 05TH AV, San Francisco, CA",0.0,1640,37.7759878742,2015-01-06 00:00:00,,-122.462515779,033,-1.0,COMPLETE,2.0,2015,RH-2,4
292,"742 HAYES ST, San Francisco, CA",0.0,0805,37.776415654,2015-03-23 00:00:00,,-122.428701301,012,-1.0,COMPLETE,2.0,2015,RH-3,4
293,"1044 CHURCH ST, San Francisco, CA",0.0,3628,37.7541251107,2015-05-29 00:00:00,,-122.428015619,008,-1.0,COMPLETE,2.0,2015,RM-1,4
